shift,policy,success,unsafe_cede,reclaim_miss,needless_intervene,chatter,peak_force,recovery_latency,boundary_f1,utility,weight
iid,conf,0.687662,0.177771,0.173362,0.053101,0.223927,2.987373,0.848587,0.410109,0.176763,10800
iid,timer,0.746565,0.118862,0.115026,0.073949,0.272306,2.517937,0.765058,0.549663,0.310206,10800
iid,tqr,0.780135,0.099771,0.097274,0.074771,0.164082,2.369493,0.670044,0.588932,0.401079,10800
iid,tpqr,0.846263,0.045162,0.043062,0.092244,0.108811,1.933890,0.536378,0.674942,0.567671,10800
iid,scalar,0.748197,0.121289,0.117900,0.061605,0.256348,2.538782,0.761267,0.548823,0.314762,10800
iid,field,0.893475,0.019962,0.021105,0.054718,0.017191,1.742670,0.441497,0.662646,0.687960,10800
iid,oracle,0.918940,0.009308,0.008521,0.008315,0.009924,1.651263,0.414879,0.668039,0.747527,10800
usershift,conf,0.674296,0.187841,0.183348,0.046611,0.236685,3.123633,0.902275,0.445802,0.144000,10800
usershift,timer,0.744893,0.121071,0.117193,0.063625,0.271258,2.591443,0.796210,0.589393,0.304640,10800
usershift,tqr,0.800580,0.081581,0.079619,0.072517,0.160587,2.281656,0.661993,0.655865,0.450027,10800
usershift,tpqr,0.857751,0.035922,0.034018,0.080683,0.112575,1.916568,0.548884,0.720030,0.593628,10800
usershift,scalar,0.753921,0.115831,0.112649,0.057008,0.256697,2.551750,0.779022,0.601334,0.327429,10800
usershift,field,0.891763,0.020186,0.021432,0.053406,0.017483,1.800760,0.469829,0.712923,0.682753,10800
usershift,oracle,0.917059,0.009510,0.008768,0.007864,0.010372,1.708991,0.443184,0.711919,0.741950,10800
contactshift,conf,0.658741,0.200537,0.194091,0.044946,0.233349,3.295901,0.934138,0.437788,0.112008,10800
contactshift,timer,0.736110,0.127043,0.121936,0.063598,0.271658,2.712234,0.818360,0.590822,0.283336,10800
contactshift,tqr,0.777970,0.100449,0.097143,0.065891,0.163263,2.505246,0.709648,0.636732,0.394490,10800
contactshift,tpqr,0.847145,0.044315,0.041726,0.076783,0.109567,2.058468,0.574381,0.715311,0.567954,10800
contactshift,scalar,0.739965,0.126543,0.121997,0.054851,0.258523,2.710030,0.810761,0.594725,0.293289,10800
contactshift,field,0.889725,0.020250,0.021774,0.050492,0.019443,1.879110,0.483570,0.710142,0.677584,10800
contactshift,oracle,0.914423,0.009752,0.009070,0.007857,0.010500,1.788067,0.455964,0.711933,0.735657,10800
compound,conf,0.642552,0.211957,0.206369,0.038133,0.243233,3.484538,1.007770,0.469182,0.073908,10800
compound,timer,0.740352,0.123386,0.119047,0.055023,0.261789,2.779963,0.852322,0.635530,0.292449,10800
compound,tqr,0.797862,0.082846,0.080641,0.060109,0.153137,2.462469,0.717523,0.695012,0.441867,10800
compound,tpqr,0.855005,0.037430,0.035296,0.064737,0.110417,2.099372,0.607853,0.752639,0.584732,10800
compound,scalar,0.745591,0.120930,0.117279,0.048361,0.251931,2.762520,0.843020,0.641421,0.305626,10800
compound,field,0.887579,0.020410,0.022365,0.045895,0.019547,1.976297,0.529909,0.751342,0.670558,10800
compound,oracle,0.911273,0.009983,0.009501,0.007471,0.010820,1.885081,0.502269,0.749734,0.726431,10800
