robot,policy,success,unsafe_cede,reclaim_miss,needless_intervene,chatter,peak_force,recovery_latency,boundary_f1,utility,weight
assist,conf,0.674960,0.188737,0.183539,0.044863,0.233311,3.109185,0.897742,0.436909,0.146173,8640
assist,timer,0.745194,0.121844,0.117490,0.062028,0.271134,2.576746,0.793550,0.582525,0.305259,8640
assist,tqr,0.792690,0.090024,0.087469,0.066981,0.161780,2.327945,0.674422,0.638681,0.430363,8640
assist,tpqr,0.854317,0.040237,0.038030,0.077414,0.111281,1.930759,0.552479,0.709801,0.585163,8640
assist,scalar,0.751399,0.119267,0.115528,0.054153,0.256783,2.558097,0.781412,0.590302,0.321083,8640
assist,field,0.893291,0.020202,0.021416,0.048934,0.018602,1.781427,0.466989,0.703058,0.686083,8640
assist,oracle,0.917590,0.009545,0.008768,0.007957,0.010404,1.689800,0.439768,0.703706,0.743233,8640
mobile,conf,0.644382,0.210154,0.203504,0.039663,0.236070,3.508192,0.977951,0.452093,0.080843,8640
mobile,timer,0.734064,0.127209,0.122100,0.057032,0.265718,2.849562,0.839713,0.614389,0.278518,8640
mobile,tqr,0.783631,0.093909,0.090841,0.060199,0.156206,2.589693,0.718001,0.667026,0.408570,8640
mobile,tpqr,0.848397,0.041696,0.039179,0.068160,0.107681,2.173752,0.592833,0.735204,0.570685,8640
mobile,scalar,0.737861,0.126404,0.121891,0.049282,0.254061,2.845025,0.832408,0.618522,0.288268,8640
mobile,field,0.887153,0.020202,0.022194,0.044170,0.017935,2.016227,0.507588,0.730933,0.671140,8640
mobile,oracle,0.910152,0.009887,0.009386,0.007662,0.010404,1.925728,0.480758,0.731936,0.725339,8640
surg,conf,0.691072,0.175541,0.172816,0.053771,0.232572,2.884063,0.865479,0.430010,0.181513,8640
surg,timer,0.753508,0.114855,0.112182,0.073838,0.271939,2.398744,0.772893,0.569459,0.325431,8640
surg,tqr,0.795308,0.087864,0.086527,0.078557,0.165164,2.187091,0.663757,0.620695,0.436437,8640
surg,tpqr,0.854671,0.039689,0.038157,0.092034,0.113762,1.801066,0.543676,0.693684,0.585983,8640
surg,scalar,0.757898,0.114392,0.112276,0.063340,0.257402,2.396818,0.764573,0.573810,0.336689,8640
surg,field,0.894534,0.020202,0.021126,0.060111,0.018991,1.653029,0.456845,0.685920,0.688996,8640
surg,oracle,0.921636,0.009336,0.008518,0.008145,0.010404,1.560528,0.429322,0.686390,0.752313,8640
cobot,conf,0.667273,0.193832,0.188350,0.044688,0.234174,3.207771,0.917500,0.441088,0.129161,8640
cobot,timer,0.741806,0.123295,0.118796,0.062448,0.270090,2.646621,0.805527,0.590508,0.297188,8640
cobot,tqr,0.789951,0.090995,0.088354,0.067073,0.160436,2.394163,0.685395,0.645924,0.423878,8640
cobot,tpqr,0.852346,0.040581,0.038324,0.077115,0.110364,1.992085,0.562554,0.716289,0.580485,8640
cobot,scalar,0.747601,0.121065,0.117182,0.054368,0.256182,2.630752,0.794294,0.597485,0.311966,8640
cobot,field,0.891287,0.020202,0.021613,0.049612,0.018437,1.840788,0.477143,0.710138,0.681329,8640
cobot,oracle,0.915711,0.009629,0.008925,0.007881,0.010404,1.749435,0.450017,0.710880,0.738720,8640
exo,conf,0.651375,0.204368,0.198255,0.045503,0.235365,3.405096,0.957291,0.448096,0.095657,8640
exo,timer,0.735326,0.125748,0.120935,0.064897,0.267384,2.780298,0.828255,0.606188,0.281893,8640
exo,tqr,0.784104,0.093016,0.090155,0.068800,0.157749,2.524688,0.707436,0.659474,0.410080,8640
exo,tpqr,0.847975,0.041333,0.038937,0.078336,0.108626,2.112711,0.582827,0.728557,0.570165,8640
exo,scalar,0.739834,0.124616,0.120404,0.056139,0.254945,2.773160,0.819900,0.611016,0.293375,8640
exo,field,0.886912,0.020202,0.021998,0.052812,0.018113,1.957076,0.497442,0.723630,0.671021,8640
exo,oracle,0.912030,0.009795,0.009230,0.007739,0.010404,1.866262,0.470504,0.724537,0.729852,8640
