policy,latency,peak_force,overshoot,success,switch_time,switched
confidence,0.0,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.0,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.0,0.0,0.0,0.0,-1,0.0
confidence,0.02,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.02,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.02,0.0,0.0,0.0,-1,0.0
confidence,0.04,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.04,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.04,0.0,0.0,0.0,-1,0.0
confidence,0.06,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.06,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.06,0.0,0.0,0.0,-1,0.0
confidence,0.08,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.08,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.08,0.0,0.0,0.0,-1,0.0
confidence,0.1,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.1,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.1,0.0,0.0,0.0,-1,0.0
confidence,0.12,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.12,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.12,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
confidence,0.14,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.14,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.14,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
confidence,0.16,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.16,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.16,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
confidence,0.18,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
time,0.18,1.8880000000000208,0.0,1.0,0.5800000000000003,1.0
boundary,0.18,10.783999999999992,2.783999999999992,1.0,0.5800000000000003,1.0
